Product,Product_code,Quantity_sales_batch_unit,Price_excl_vat_per_sales_unit,Quantity_base_unit,Price_excl_vat_per_base_unit,Producer,Sustainable,Meat_certs,Supplier
Bass Strait Beef Steak Flank 32 LB AVG HALAL,,,,,,,,,
,2210SY,6.421 CS,$263.680 / CS,205.470 lb,$8.240 / lb,Greenham,Yes,CH: Certified Humane Raised and Handled,Cream Co Meats
BEEF BARBACOA,,,,,,,,,
,00107977-01-002,1.015 CS,$224.400 / CS,60.900 lb,$3.740 / lb,,,,Del Monte (Allen Brothers)
,00107977-01-002,2.052 CS,$265.800 / CS,123.100 lb,$4.430 / lb,,,,Del Monte (Allen Brothers)
,00107977-01-002,3.030 CS,$268.200 / CS,181.800 lb,$4.470 / lb,,,,Del Monte (Allen Brothers)
,00107977-01-002,2.998 CS,$270.000 / CS,179.900 lb,$4.500 / lb,,,,Del Monte (Allen Brothers)
,00107977-01-002,2.030 CS,$282.000 / CS,121.800 lb,$4.700 / lb,,,,Del Monte (Allen Brothers)
,00107977-01-002,2.043 CS,$283.200 / CS,122.600 lb,$4.720 / lb,,,,Del Monte (Allen Brothers)
BEEF CAB RIBEYE L/ON 17 DN CA GROWN 5/13-15 LB CS HARRIS RANCH,,,,,,,,,
,00101305-01-002,2.106 CS,"$1,166.200 / CS",147.400 lb,$16.660 / lb,,,,Del Monte (Allen Brothers)
BEEF CAB STEW 1/1 LB,,,,,,,,,
,00109455-01-002,300.650 lb,$6.930 / lb,300.650 lb,$6.930 / lb,,,,Del Monte (Allen Brothers)
,00109455-01-002,141.620 lb,$7.930 / lb,141.620 lb,$7.930 / lb,,,,Del Monte (Allen Brothers)
,00109455-01-002,401.860 lb,$8.160 / lb,401.860 lb,$8.160 / lb,,,,Del Monte (Allen Brothers)
,00109455-01-002,203.020 lb,$8.210 / lb,203.020 lb,$8.210 / lb,,,,Del Monte (Allen Brothers)
BEEF CAB STIR FRY 1/4 X 1/4 X 3 IN 1/1 LB,,,,,,,,,
,00232000-01-002,103.780 lb,$7.930 / lb,103.780 lb,$7.930 / lb,,,,Del Monte (Allen Brothers)
,00232000-01-002,173.360 lb,$7.970 / lb,173.360 lb,$7.970 / lb,,,,Del Monte (Allen Brothers)
,00232000-01-002,301.460 lb,$8.080 / lb,301.460 lb,$8.080 / lb,,,,Del Monte (Allen Brothers)
BEEF CAB TRI TIP PLD 4 (16-18 LB) CS   (6-7 PER CVP),,,,,,,,,
,00102300-01-002,1.916 CS,$512.640 / CS,138.000 lb,$7.120 / lb,,,,Del Monte (Allen Brothers)
,00102300-01-002,2.114 CS,$513.360 / CS,152.200 lb,$7.130 / lb,,,,Del Monte (Allen Brothers)
BEEF CAB TRI TIP PLD 4/16-18 LB CS (6-7 PER CVP),,,,,,,,,
,00102300-01-002,0.869 CS,$520.560 / CS,62.600 lb,$7.230 / lb,,,,Del Monte (Allen Brothers)
,00102300-01-002,0.000 CS,$554.400 / CS,0.000 lb,$7.700 / lb,,,,Del Monte (Allen Brothers)
,00102300-01-002,2.261 CS,$558.720 / CS,162.800 lb,$7.760 / lb,,,,Del Monte (Allen Brothers)
,00102300-01-002,0.313 CS,$569.520 / CS,22.520 lb,$7.910 / lb,,,,Del Monte (Allen Brothers)
,00102300-01-002,2.192 CS,$580.320 / CS,157.800 lb,$8.060 / lb,,,,Del Monte (Allen Brothers)
,00102300-01-002,1.994 CS,$586.800 / CS,143.600 lb,$8.150 / lb,,,,Del Monte (Allen Brothers)
,00102300-01-002,1.082 CS,$595.440 / CS,77.900 lb,$8.270 / lb,,,,Del Monte (Allen Brothers)
,00102300-01-002,3.172 CS,$596.880 / CS,228.400 lb,$8.290 / lb,,,,Del Monte (Allen Brothers)
,00102300-01-002,0.212 CS,$611.280 / CS,15.280 lb,$8.490 / lb,,,,Del Monte (Allen Brothers)
,00102300-01-002,0.182 CS,$614.880 / CS,13.080 lb,$8.540 / lb,,,,Del Monte (Allen Brothers)
,00102300-01-002,0.286 CS,$621.360 / CS,20.600 lb,$8.630 / lb,,,,Del Monte (Allen Brothers)
,00102300-01-002,2.046 CS,$625.680 / CS,147.300 lb,$8.690 / lb,,,,Del Monte (Allen Brothers)
,00102300-01-002,2.224 CS,$626.400 / CS,160.100 lb,$8.700 / lb,,,,Del Monte (Allen Brothers)
BEEF CHEEK MT FRZ EXCEL 6/3.5 LB CS,,,,,,,,,
,00230451-01-002,6.219 CS,$95.130 / CS,130.600 lb,$4.530 / lb,,,,Del Monte (Allen Brothers)
Beef Chuck Tender Halal Choice,,,,,,,,,
,7185414,0.732 CS,$280.149 / CS,43.800 lb,$4.680 / lb,,,,Sysco Food Services Inc
