Product,Product_code,Quantity_sales_batch_unit,Price_excl_vat_per_sales_unit,Quantity_base_unit,Price_excl_vat_per_base_unit,Producer,Sustainable,Meat_certs,Supplier
Bass Strait Beef Steak Flank 32 LB AVG HALAL,,,,,,,,,
,2210SY,6.421 CS,$263.680 / CS,205.470 lb,$8.240 / lb,Greenham,Yes,CH: Certified Humane Raised and Handled,Cream Co Meats
BEEF BARBACOA,,,,,,,,,
,7328557,13.653 CS,$106.200 / CS,245.760 lb,$5.900 / lb,,,,Sysco Food Services Inc
HARRIS RANCH BEEF GROUND CHUB 80/20 HALAL UNIV CA  2 (10 LB),,,,,,,,,
,7023707,105.000 CS,$74.800 / CS,"2,100.000 lb",$3.740 / lb,,,,Sysco Food Services Inc
HARRIS RANCH BEEF STRIP LOIN 0X1 HALAL 1/4 TR 6 (11 LB),,,,,,,,,
,7047460,34.128 CS,$540.540 / CS,"2,252.400 lb",$8.190 / lb,,,,Sysco Food Services Inc
,7047460,20.215 CS,$602.580 / CS,"1,334.200 lb",$9.130 / lb,,,,Sysco Food Services Inc
,7047460,12.810 CS,$648.780 / CS,845.400 lb,$9.830 / lb,,,,Sysco Food Services Inc
,7047460,14.460 CS,$680.460 / CS,954.400 lb,$10.310 / lb,,,,Sysco Food Services Inc
HARRIS RANCH BEEF STRIP LOIN 0X1 HALAL 1/4 TR FRZ 6 (11 LB),,,,,,,,,
,7346474,1.019 CS,$495.300 / CS,66.600 lb,$7.580 / lb,,,,Sysco Food Services Inc
MEATBALL BEEF ITAL STYLE 1 OZ,,,,,,,,,
,7771991,249.000 CS,$48.000 / CS,"2,490.000 lb",$4.800 / lb,Arrezzio,No,,Sysco Food Services Inc
,7771991,355.000 CS,$48.430 / CS,"3,550.000 lb",$4.843 / lb,Arrezzio,No,,Sysco Food Services Inc
,7771991,145.000 CS,$50.260 / CS,"1,450.000 lb",$5.026 / lb,Arrezzio,No,,Sysco Food Services Inc
,7771991,42.000 CS,$50.320 / CS,420.000 lb,$5.032 / lb,Arrezzio,No,,Sysco Food Services Inc
Oxtail Beef,,,,,,,,,
,00230900-01-003,0.000 CS,$9.600 / CS,0.000 LB,$9.600 / LB,Miscellaneous Producer,No,,Del Monte (Allen Brothers)
Pepperoni Sliced Beef 14 Count,,,,,,,,,
,2156925,4.000 CS,$144.700 / CS,100.000 lb,$5.788 / lb,Hormel,No,,Sysco Food Services Inc
,2156925,6.000 CS,$149.950 / CS,150.000 lb,$5.998 / lb,Hormel,No,,Sysco Food Services Inc
,2156925,8.000 CS,$150.700 / CS,200.000 lb,$6.028 / lb,Hormel,No,,Sysco Food Services Inc
Roast Beef Shoulder Kosher (K),,,,,,,,,
,7003,345.239 lb,$10.990 / lb,345.239 LB,$10.990 / LB,,No,,Oakland Kosher Foods
Stew Beef Cut,,,,,,,,,
,00109455-01-003,0.000 CS,$7.680 / CS,0.000 LB,$7.680 / LB,CAB (Certified Angus Beef),No,,Del Monte (Allen Brothers)
Stew Beef Cut  Cubed Kosher (K),,,,,,,,,
,7000,"1,259.729 lb",$10.990 / lb,"1,259.729 LB",$10.990 / LB,,No,,Oakland Kosher Foods
Tenderloin Beef,,,,,,,,,
,00170350-01-003,0.000 CS,"$1,205.280 / CS",0.000 LB,$16.740 / LB,CAB (Certified Angus Beef),No,,Del Monte (Allen Brothers)
Thunder Ridge/ Argyle/ Pure Angus Beef Sirloin Philly Sliced Raw 20 LB AVG,,,,,,,,,
,6815,43.730 CS,$145.600 / CS,874.600 lb,$7.280 / lb,Cream Co*,,,Cream Co Meats
,6815,335.100 CS,$146.800 / CS,"6,702.000 lb",$7.340 / lb,Cream Co*,,,Cream Co Meats
,6815,58.611 CS,$151.600 / CS,"1,172.220 lb",$7.580 / lb,Cream Co*,,,Cream Co Meats
Thunder Ridge/ Argyle/ Pure Angus Beef Sliced Thin (Stir-Fry Cut) 20 LB AVG ,,,,,,,,,
,6814,40.472 CS,$145.600 / CS,809.440 lb,$7.280 / lb,Cream Co*,,,Cream Co Meats
,6814,272.024 CS,$146.800 / CS,"5,440.480 lb",$7.340 / lb,Cream Co*,,,Cream Co Meats
,6814,43.306 CS,$151.600 / CS,866.120 lb,$7.580 / lb,Cream Co*,,,Cream Co Meats
Thunder Ridge/Argyle/PureAngus Beef Stew Cut Cream Co. 20 LB AVG ,,,,,,,,,
,6805,92.514 CS,$146.800 / CS,"1,850.280 lb",$7.340 / lb,Cream Co*,,,Cream Co Meats
,6805,25.402 CS,$151.600 / CS,508.040 lb,$7.580 / lb,Cream Co*,,,Cream Co Meats
Top Round Roast Beef Raw,,,,,,,,,
,00102850-01-003,2.000 CS,$238.140 / CS,126.000 LB,$3.780 / LB,CAB (Certified Angus Beef),No,,Del Monte (Allen Brothers)
WOL PAK BEEF GROUND PATTY 3.7 PUCK FRZ 72 (3.7 OZ),,,,,,,,,
,7208474,1.000 CS,$37.540 / CS,16.650 lb,$2.255 / lb,,,,Sysco Food Services Inc
