New_SP26,Recipe,Ingredient,Percent_dish_meat,Meat_ingr_conventional_price_lb,Meat_ingr_sustainable_price_lb,Default_sus
No,Chicken Breast AF HALAL,Chicken Breast B/S Raw HALAL,0.98,2.96,2.09,Yes
No,Chicken Breast Cacciatore Seared HALAL,Chicken Breast B/S Raw HALAL,0.67,2.96,2.09,Yes
No,Chicken Breast Chipotle HALAL AF,Chicken Breast B/S Raw HALAL,0.03,2.96,2.09,Yes
No,Chicken Teriyaki SG,Chicken Thigh Boneless HALAL,0.84,1.98,,No
No,Chicken Thigh Fajita Sauteed HALAL,Chicken Thigh Boneless HALAL,0.70,1.98,,No
No,Chicken Thigh Herb Roasted,Chicken Thigh Boneless HALAL,0.96,1.98,,No
No,Chicken Thigh Honey Mustard Baked HALAL,Chicken Thigh Boneless HALAL,0.94,1.98,,No
No,Chicken Thigh Jerk Baked HALAL,Chicken Thigh Boneless HALAL,0.90,1.98,,No
No,Chicken Thigh Latin Braised Shredded,Chicken Thigh Boneless HALAL,0.52,1.98,,No
No,Chicken Thigh Shawarma Grilled HALAL,Chicken Thigh Boneless HALAL,0.89,1.98,,No
No,Chicken Thigh Tagine Seared HALAL,Chicken Thigh Boneless HALAL,0.64,1.98,,No
No,Chicken Thigh Teriyaki Roasted HALAL,Chicken Thigh Boneless HALAL,0.88,1.98,,No
No,Chicken Thigh Vindaloo HALAL,Chicken Thigh Boneless HALAL,0.77,1.98,,No
No,Chicken Wing Fried Party Basic,Chicken Wings Party,0.99,1.84,3.39,No
No,Chicken Thigh Teriyaki Grilled,Chicken Thigh Boneless,0.92,1.69,5.29,No
No,Stew Chicken Thigh Adobo,Chicken Thigh Bone In,0.81,1.41,3.59,No
No,Chicken Thigh Huli Huli Grilled HALAL,Chicken Thigh Bone In HALAL,0.84,1.41,,No
No,Chicken Thigh Pomegranate Baked,Chicken Thigh Bone In HALAL,0.85,1.41,,No
No,Chicken Thigh Tandoori Baked HALAL,Chicken Thigh Bone In HALAL,0.87,1.41,,No
No,Chicken Tenders Fried,Chicken Tenderloin Breaded Precooked,0.96,0.97,,No
No,Beef Chicken Fried Steak and Gravy,Beef Chicken Fried,0.75,0.35,,No
No,Beef Tri Tip Achiote Crusted Roasted HALAL,Beef Tri Tip HALAL,0.88,0.20,,No
No,Beef Tri Tip Chimichuri Grilled (MS) HALAL,Beef Tri Tip HALAL,0.86,0.20,,No
No,Stew Beef Chili Colorado HALAL,Beef Tri Tip HALAL,0.81,0.20,,No
No,Beef Brisket BBQ Braised HALAL,Beef Brisket Whole HALAL,0.85,,5.60,Yes
No,Beef Bulgogi,Beef Sirloin Philly Sliced HALAL,0.76,,8.43,Yes
No,Beef Bulgogi HALAL,Beef Sirloin Philly Sliced HALAL,0.82,,8.43,Yes
No,Stew Beef Rendang (HS) HALAL,Beef Stew Cut (HS) Halal,0.66,,8.43,Yes
No,Beef Broccoli Stir Fry (HS) HALAL,Beef Stir-Fry Cut (HS) Halal,0.33,,8.43,Yes
No,Beef Sirloin Fajita (HS) HALAL,Beef Stir-Fry Cut (HS) Halal,0.63,,8.43,Yes
No,Beef Sirloin Fajita HALAL,Beef Stir-Fry Cut (HS) Halal,0.63,,8.43,Yes
No,Beef Strips Honey Garlic Seared HALAL,Beef Stir-Fry Cut (HS) Halal,0.84,,8.43,Yes
No,Chicken 8 Cut BBQ Baked,Chicken 8 Cut HALAL,0.87,,2.62,Yes
No,Chicken 8 Cut BBQ Roasted HALAL,Chicken 8 Cut HALAL,0.88,,2.62,Yes
No,Chicken 8 Cut Harissa Roasted,Chicken 8 Cut HALAL,0.88,,2.62,Yes
No,Chicken 8 Cut Herb Roasted,Chicken 8 Cut HALAL,0.88,,2.62,Yes
No,Chicken 8 Cut Herb Roasted HALAL,Chicken 8 Cut HALAL,0.95,,2.62,Yes
No,Chicken 8 Cut Jerk Baked HALAL,Chicken 8 Cut HALAL,0.94,,2.62,Yes
No,Chicken 8 Cut Lemon Thyme Baked,Chicken 8 Cut HALAL,0.88,,2.62,Yes
No,Chicken 8 Cut Lemongrass Roasted,Chicken 8 Cut HALAL,0.89,,2.62,Yes
No,Chicken 8 Cut Mediterranean Baked,Chicken 8 Cut HALAL,0.87,,2.62,Yes
No,Chicken 8 Cut Mediterranean Roasted HALAL,Chicken 8 Cut HALAL,0.89,,2.62,Yes
No,Chicken 8 Cut Moroccan Spice Baked,Chicken 8 Cut HALAL,0.97,,2.62,Yes
No,Chicken 8 Cut North African Roasted HALAL AF,Chicken 8 Cut HALAL,0.93,,2.62,Yes
No,Chicken 8 Cut Piri Piri Roasted,Chicken 8 Cut HALAL,0.81,,2.62,Yes
No,Pork Carnitas Housemade,Pork Loin Boneless,0.91,,3.75,Yes
No,Pork Chop Grilled,Pork Loin Boneless,0.91,,3.75,Yes
No,Pork Loin Citrus Glazed Roasted,Pork Loin Boneless,0.93,,3.75,Yes
No,Pork Loin Honey Mustard,Pork Loin Boneless,0.89,,3.75,Yes
No,Pork Loin Roasted,Pork Loin Boneless,1.00,,3.75,Yes
No,Salmon Cajun Grilled,Salmon Fillet Standard,0.94,,8.28,Yes
No,Salmon Dijon Herb Crusted Baked,Salmon Fillet Standard,0.90,,8.28,Yes
No,Salmon Jade Pesto Baked,Salmon Fillet Standard,0.78,,8.28,Yes
No,Salmon Mango Salsa Baked,Salmon Fillet Standard,0.80,,8.28,Yes
No,Salmon Pineapple Salsa Baked,Salmon Fillet Standard,0.78,,8.28,Yes
No,Salmon Pineapple Teriyaki Baked HALAL,Salmon Fillet Standard,0.84,,8.28,Yes
