Semester,week,day,meal,dining_hall,recipe,Ingredient,Category,percent_meat,meat_price_per_dish,Expected_lb_meat_portion,oz_meat_per_dish,Conventional_price_lb,Sustainable_price_lb,Default_sus,portion_size_oz,planned_portions,planned_weight_lbs,cost_recipe_per_portion
SP26,3,Wednesday,Dinner,CKC,Chicken Szechuan HALAL,Chicken Diced Dark Meat HALAL,Chicken,0.44,0.58,0.16,2.56,3.64,,No,5.84,937.00,341.93,
F25,4,Sunday,Dinner,CKC,Chicken Tenders Fried,Chicken Tenderloin Breaded Precooked,Chicken,0.96,0.24,0.25,4.04,0.97,,No,4.22,935.00,246.39,0.26
SP26,2,Tuesday,Dinner,C3,Chicken Tikka Masala HALAL,Chicken Diced Dark Meat HALAL,Chicken,0.61,0.87,0.24,3.84,3.64,,No,6.28,917.00,360.04,1.34
F25,2,Tuesday,Dinner,C3,Chicken Tikka Masala HALAL,Chicken Diced Dark Meat HALAL,Chicken,0.61,0.87,0.24,3.84,3.64,,No,6.28,917.00,360.04,1.26
SP26,3,Monday,Lunch,C3,Chicken Thigh Jerk Baked HALAL,Chicken Thigh Boneless HALAL,Chicken,0.9,0.79,0.4,6.4,1.98,,No,7.08,904.00,399.94,1.42
F25,3,Monday,Lunch,C3,Chicken Thigh Jerk Baked HALAL,Chicken Thigh Boneless HALAL,Chicken,0.9,0.79,0.4,6.4,1.98,,No,7.08,904.00,399.94,3.66
SP26,1,Sunday,Dinner,XRDS,Chicken Tenders Korean BBQ,Chicken Tenderloin Breaded Precooked,Chicken,0.8,0.24,0.25,4,0.97,,No,5,900.00,281.25,0.48
F25,1,Sunday,Dinner,XRDS,Chicken Tenders Korean BBQ,Chicken Tenderloin Breaded Precooked,Chicken,0.8,0.24,0.25,4,0.97,,No,5,900.00,281.25,0.37
F25,1,Tuesday,Dinner,XRDS,Rockfish Piccata Baked,Rockfish Fillet,Fish,0.77,1.48,0.19,3.08,6.9,7.69,Yes,4,900.00,225,1.5
F25,4,Monday,Lunch,XRDS,Rockfish Teriyaki Baked HALAL,Rockfish Fillet,Fish,0.95,1.83,0.24,3.8,6.9,7.69,Yes,4,900.00,225,1.75
SP26,2,Saturday,Dinner,C3,Beef Ground Taco Meat Sauteed HALAL,Beef Ground HALAL,Beef,0.72,0.62,0.17,2.74,3.61,0,No,3.8,900.00,213.58,0.91
F25,2,Saturday,Dinner,C3,Beef Ground Taco Meat Sauteed,Beef Ground HALAL,Beef,0.67,0.58,0.16,2.55,3.61,0,No,3.8,900.00,213.58,0.83
SP26,2,Tuesday,Dinner,CKC,Chicken Orange Mandarin,Chicken Mandarin Orange with Sauce,Chicken,0.93,1.65,0.37,6,4.39,,No,6.46,880.00,355.1,
F25,4,Tuesday,Dinner,CKC,Chicken Orange Mandarin,Chicken Mandarin Orange with Sauce,Chicken,0.93,1.65,0.37,6,4.39,,No,6.46,840.00,338.96,1.72
SP26,2,Sunday,Dinner,CKC,Stew Chicken Thigh Adobo (HS) HALAL,Chicken Thigh (HS) HALAL,Chicken,0.82,0.95,0.24,3.84,3.98,,No,4.67,835,243.78,
SP26,2,Thursday,Dinner,CKC,Stew Beef Kaldretta Filipino,Beef Stew Cut,Beef,0.42,1.78,0.2,3.2,8.92,,No,7.55,800,377.53,
