Semester,week,day,meal,dining_hall,recipe,Ingredient,Category,percent_meat,meat_price_per_dish,Expected_lb_meat_portion,oz_meat_per_dish,Conventional_price_lb,Sustainable_price_lb,Default_sus,portion_size_oz,planned_portions,planned_weight_lbs,cost_recipe_per_portion
F25,3,Thursday,Lunch,CKC,Chicken Tenders Fried,Chicken Tenderloin Breaded Precooked,Chicken,0.96,0.24,0.25,4.04,0.97,,No,4.22,400,105.41,0.26
F25,1,Monday,Lunch,CKC,Salmon Pineapple Salsa Baked,Salmon Fillet Standard,Fish,0.78,1.99,0.24,3.84,,8.28,Yes,4.94,400,123.38,0.48
F25,1,Tuesday,Lunch,CKC,Chicken 8 Cut BBQ Baked,Chicken 8 Cut HALAL,Chicken,0.87,0.63,0.24,3.84,,2.62,Yes,4.41,400,110.16,0.9
SP26,3,Tuesday,Lunch,CKC,Chicken Corn Tortilla Baked Red Sauce Enchiladas,Chicken Thigh Boneless Precooked,Chicken,0.37,1.44,0.25,4,5.78,,No,10.75,373,250.58,
SP26,3,Friday,Lunch,CKC,Pork Pulled BBQ Housemade,Pork Butt Boneless,Pork,0.82,0.65,0.2,3.2,3.25,,No,3.92,360,88.25,
SP26,2,Tuesday,Lunch,CKC,Beef Carne Asada Housemade,Beef Sirloin Stir-Fry Cut,Beef,0.94,1.95,0.23,3.74,8.35,,No,4,350,87.5,
F25,2,Tuesday,Lunch,CKC,Beef Carne Asada Housemade,Beef Sirloin Stir-Fry Cut,Beef,0.94,1.95,0.23,3.74,8.35,,No,4,350,87.5,1.83
SP26,1,Monday,Dinner,CKC,Pork Loin Roasted,Pork Loin Boneless,Pork,1,0.9,0.24,3.84,,3.75,Yes,3.86,350,84.34,
SP26,1,Thursday,Lunch,CKC,Stew Beef Kaldretta Filipino,Beef Stew Cut,Beef,0.42,1.78,0.2,3.2,8.92,,No,7.55,300,141.58,
F25,1,Monday,Lunch,CKC,Beef Bulgogi,Beef Sirloin Philly Sliced HALAL,Beef,0.76,1,0.12,1.9,,8.43,Yes,2.5,270,42.19,1.41
SP26,4,Sunday,Dinner,CKC,Beef Chicken Fried Steak and Gravy,Beef Chicken Fried,Beef,0.75,0.08,0.24,3.84,0.35,0,No,5.15,250,80.5,
SP26,3,Monday,Dinner,CKC,Chicken Thigh Vindaloo HALAL,Chicken Thigh Boneless HALAL,Chicken,0.77,0.44,0.22,3.52,1.98,,No,4.56,240,68.35,
F25,2,Tuesday,Lunch,CKC,Shrimp Taco Filling Battered Fried,Shrimp Breaded PopCorn Style,Shellfish,0.97,0.57,0.12,2,4.59,,No,2.06,200,25.8,0.59
F25,4,Saturday,Dinner,C3,Beef Ground AF HALAL,Beef Ground HALAL,Beef,0.94,0.87,0.24,3.84,3.61,0,No,4.08,200,51.06,1.4
SP26,2,Sunday,Dinner,FTH,Chicken Orange Mandarin,Chicken Mandarin Orange with Sauce,Chicken,0.93,1.65,0.37,6,4.39,,No,6.46,110,44.39,1.72
