scenario,category,ingredient,shortened_ingredient,default_sus,freq_baseline,freq_optimized,delta,baseline_cost_contribution,optimized_cost_contribution,baseline_sustainable_spend,optimized_sustainable_spend,baseline_ghg,optimized_ghg
s2_CKC,Chicken,Chicken Thigh Bone In HALAL,Thigh Bone In HALAL,No,4,2,-2,1.3395,0.66975,0,0,4.1796292967,2.08981464835
s2_CKC,Chicken,Chicken Thigh Boneless Precooked,Thigh Boneless Precooked,No,4,2,-2,5.7222,2.8611,0,0,4.35561368814,2.17780684407
s2_CKC,Chicken,Chicken Breast B/S Raw 4 oz,Breast B/S Raw 4 oz,No,2,3,1,1.9760000000000002,2.9640000000000004,0,0,1.7598439144000002,2.6397658716000003
s2_CKC,Chicken,Chicken Breast Fajita Cut,Breast Fajita Cut,No,2,1,-1,0.756,0.378,0,0,1.05590634864,0.52795317432
s2_CKC,Chicken,Chicken Diced Dark Meat HALAL,Diced Dark Meat HALAL,No,2,3,1,1.1648,1.7472,0,0,1.40787513152,2.11181269728
s2_CKC,Chicken,Chicken Diced Meat Precooked,Diced Meat Precooked,No,3,4,1,2.412,3.2159999999999997,0,0,2.6397658716000003,3.5196878288000004
s2_CKC,Chicken,Chicken Mandarin Orange with Sauce,Mandarin Orange with Sauce,No,3,2,-1,4.8729,3.2485999999999997,0,0,4.8835668624599995,3.25571124164
s2_CKC,Chicken,Chicken Breast Fajita Cut HALAL,Breast Fajita Cut HALAL,No,1,1,0,0.638,0.638,0,0,0.8799219572000001,0.8799219572000001
s2_CKC,Chicken,Chicken Thigh (HS) HALAL,Thigh (HS) HALAL,No,1,1,0,0.9551999999999999,0.9551999999999999,0,0,1.05590634864,1.05590634864
s2_CKC,Chicken,Chicken Wings Party,Wings Party,No,1,1,0,0.92,0.92,0,0,2.199804893,2.199804893
s2_CKC,Fish,Salmon Fillet Standard,Salmon Fillet Standard,Yes,6,9,3,11.591999999999999,17.387999999999998,11.591999999999999,17.387999999999998,6.971697370399999,10.4575460556
s2_CKC,Fish,Cod Fillet Breaded,Cod Fillet Breaded,No,2,1,-1,4.955,2.4775,0,0,2.489891918,1.244945959
s2_CKC,Fish,Catfish Fillet,Cat Fillet,No,1,1,0,1.4472,1.4472,0,0,1.19514812064,1.19514812064
s2_CKC,Fish,Cod Fillet,Cod Fillet,No,1,1,0,1.87,1.87,0,0,1.244945959,1.244945959
s2_CKC,Fish,Rockfish Fillet,Rock Fillet,Yes,1,1,0,1.9225,1.9225,1.9225,1.9225,1.244945959,1.244945959
s2_CKC,Pork,Pork Butt Boneless,Butt Boneless,No,6,9,3,4.29,6.435,0,0,12.977583767280002,19.466375650920003
s2_CKC,Pork,Pork Carnitas Precooked,Carnitas Precooked,No,2,3,1,2.3000000000000003,3.45,0,0,3.9326011416,5.898901712400001
s2_CKC,Pork,Pork Loin Boneless,Loin Boneless,Yes,3,4,1,2.6999999999999997,3.5999999999999996,2.6999999999999997,3.5999999999999996,7.07868205488,9.43824273984
s2_CKC,Pork,Pork Stew Cut,Stew Cut,No,3,4,1,3.0016,4.002133333333333,0,0,6.29216182656,8.38954910208
s2_CKC,Pork,Pork Ham Boneless,Ham Boneless,No,1,1,0,1.075,1.075,0,0,2.4578757135,2.4578757135
s2_CKC,Shellfish,Shrimp Breaded PopCorn Style,Shrimp Breaded PopCorn Style,No,1,1,0,0.5508,0.5508,0,0,2.535291,2.535291
