scenario,category,ingredient,shortened_ingredient,default_sus,freq_baseline,freq_optimized,delta,baseline_cost_contribution,optimized_cost_contribution,baseline_sustainable_spend,optimized_sustainable_spend,baseline_ghg,optimized_ghg
s2_CKC,Beef,Beef Sirloin Stir-Fry Cut,Sirloin Stir-Fry Cut,No,4,2,-2,6.178999999999999,3.0894999999999997,0,0,30.596251891599998,15.298125945799999
s2_CKC,Beef,Beef Stew Cut,Stew Cut,No,5,3,-2,7.492800000000001,4.49568,0,0,34.7308805256,20.83852831536
s2_CKC,Beef,Beef Carne Asada Diced 1/4 Fully Cooked,Carne Asada Diced 1/4 Fully Cooked,No,2,1,-1,3.2148000000000003,1.6074000000000002,0,0,15.7115888092,7.8557944046
s2_CKC,Beef,Beef Ground HALAL,Ground HALAL,No,2,3,1,1.0830000000000002,1.6245000000000003,0,0,12.403885902,18.605828853000002
s2_CKC,Beef,Beef Stir-Fry Cut (HS) Halal,Stir-Fry Cut (HS) Halal,Yes,2,3,1,2.5290000000000004,3.7935000000000008,2.5290000000000004,3.7935000000000008,12.403885902,18.605828853000002
s2_CKC,Beef,Beef Brisket Whole HALAL,Brisket Whole HALAL,Yes,1,1,0,1.3439999999999999,1.3439999999999999,1.3439999999999999,1.3439999999999999,9.9231087216,9.9231087216
s2_CKC,Beef,Beef Chicken Fried,Chicken Fried,No,1,1,0,0.08399999999999999,0.08399999999999999,0,0,9.9231087216,9.9231087216
s2_CKC,Beef,Beef Meatball Precooked,Meatball Precooked,No,2,2,0,2.82,2.82,0,0,20.67314317,20.67314317
s2_CKC,Beef,Beef Sirloin Philly Sliced HALAL,Sirloin Philly Sliced HALAL,Yes,1,1,0,1.0115999999999998,1.0115999999999998,1.0115999999999998,1.0115999999999998,4.9615543608,4.9615543608
s2_CKC,Beef,Beef Stew Cut KOSHER,Stew Cut KOSHER,No,1,1,0,2.7475,2.7475,0,0,10.336571585,10.336571585
s2_CKC,Chicken,Chicken 8 Cut HALAL,8 Cut HALAL,Yes,7,10,3,4.4016,6.288,4.4016,6.288,7.39134444048,10.5590634864
s2_CKC,Chicken,Chicken Thigh Boneless HALAL,Thigh Boneless HALAL,No,7,4,-3,3.0294,1.7310857142857143,0,0,6.731402972580001,3.846515984331429
s2_CKC,Chicken,Chicken Tenderloin Breaded Precooked,Tenderloin Breaded Precooked,No,4,2,-2,0.97,0.485,0,0,4.399609786,2.199804893
