"Ingredient","Category","Percent_dish_meat","meat_price_per_dish","Expected_lb_meat_portion","oz_meat_per_dish","Conventional_price_lb","Sustainable_price_lb","Default_sus","portion_size_oz","Expected_portions","planned_weight_lbs","cost_recipe_per_portion","Conventional_GHG_per_lb","Baseline_freq","freq_opt_s1v2.2","delta_s1v2.2","freq_baseline","freq_opt_s1v2_2","delta_s1v2_2"
"Rockfish Fillet","Fish",0.95,1.92,0.25,4,6.9,7.69," Yes ",4.21,"1,200.00",315.95,2.08,4.979783836,8,7,-1,8,7,-1
"Cod Fillet","Fish",0.78,1.87,0.25,4,7.48,0," No ",5.11,"1,000.00",319.68,2.11,4.979783836,4,1,-3,4,1,-3
"Pork Stew Cut","Pork",0.78,1.13,0.24,3.84,4.69,4.62," No ",4.9,"2,000.00",612.87,1.24,9.831502854,9,4,-5,9,4,-5
"Pork Carnitas Precooked","Pork",0.75,1.08,0.19,3,5.75,0," No ",4,"1,400.00",350,1.25,9.831502854,4,5,1,4,5,1
"Pork Loin Boneless","Pork",0.89,0.9,0.24,3.84,0,3.75," Yes ",4.34,"1,400.00",379.42,1.48,9.831502854,6,7,1,6,7,1
"Pork Butt Boneless","Pork",0.82,0.65,0.2,3.2,3.25,0," No ",3.92,"1,100.00",269.67,0.83,9.831502854,6,7,1,6,7,1
"Sausage Breakfast Pork Link","Pork",1,0.6,0.13,2,4.81,0," No ",2,"700.00",87.5,0.52,9.831502854,1,1,0,1,1,0
"Pork Ham Boneless","Pork",0.86,1.07,0.25,4,4.3,0," No ",4.64,"525.00",152.25,0.81,9.831502854,1,1,0,1,1,0
"Shrimp 31/40","Shellfish",0.63,0.93,0.17,2.67,5.59,0," No ",4.24,"1,600.00",423.9,1.19,21.127425,4,5,1,4,5,1
"Shrimp 26/30","Shellfish",0.23,0.57,0.1,1.6,5.69,0," No ",7.05,"1,000.00",440.56,1,21.127425,1,1,0,1,1,0
"Shrimp Breaded PopCorn Style","Shellfish",0.97,0.57,0.12,2,4.59,0," No ",2.06,"200.00",25.8,0.59,21.127425,1,1,0,1,1,0
"Turkey Breast Boneless Skin On","Turkey",0.53,1.1,0.17,2.67,6.6,0," No ",5,"1,000.00",312.5,1.64,4.399609786,2,2,0,2,2,0
