"Ingredient","Category","Percent_dish_meat","meat_price_per_dish","Expected_lb_meat_portion","oz_meat_per_dish","Conventional_price_lb","Sustainable_price_lb","Default_sus","portion_size_oz","Expected_portions","planned_weight_lbs","cost_recipe_per_portion","Conventional_GHG_per_lb","Baseline_freq","freq_opt_s4v2","delta_s4v2","freq_baseline","freq_opt_s4v2_2","baseline_cost_contribution","opt_cost_contribution_s4v2","baseline_sus_spend_contribution","opt_sus_spend_contribution_s4v2","baseline_ghg_contribution","opt_ghg_contribution_s4v2"
"Chicken Thigh (HS) HALAL","Chicken",0.82,0.95,0.24,3.84,3.98,0," No ",4.67,"1,400.00",408.73,1.22,4.399609786,2,1,-1,2,1,1.9104,0.9552,0,0,2.11181269728,1.05590634864
"Chicken Breast B/S Raw HALAL","Chicken",0.98,0.51,0.25,3.92,2.96,2.09," Yes ",4,"1,320.00",330,0.64,4.399609786,4,6,2,4,6,2.09,3.135,2.09,3.135,4.399609786,6.599414679
"Chicken Breast B/S Raw (HS) HALAL","Chicken",0.95,1.21,0.3,4.73,4.09,0," No ",5,"1,200.00",375,1.35,4.399609786,1,1,0,1,1,1.227,1.227,0,0,1.3198829358,1.3198829358
"Chicken Diced Meat Precooked","Chicken",0.65,0.82,0.2,3.26,4.02,0," No ",5,"1,100.00",343.75,1.28,4.399609786,5,3,-2,5,3,4.02,2.412,0,0,4.399609786,2.6397658716
"Chicken Wings Party","Chicken",0.99,0.92,0.5,8,1.84,3.39," No ",8.05,"480.00",241.5,NA,4.399609786,1,1,0,1,1,0.92,0.92,0,0,2.199804893,2.199804893
"Chicken Tempura","Chicken",0.67,0.65,0.2,3.2,3.25,0," No ",4.77,"400.00",119.15,1.36,4.399609786,1,1,0,1,1,0.65,0.65,0,0,0.8799219572,0.8799219572
"Catfish Fillet","Fish",0.82,1.45,0.24,3.84,6.03,0," No ",4.71,"1,500.00",441.44,1.56,4.979783836,2,1,-1,2,1,2.8944,1.4472,0,0,2.39029624128,1.19514812064
"Salmon Fillet Standard","Fish",0.8,1.99,0.24,3.84,0,8.28," Yes ",4.83,"1,500.00",452.96,2.2,4.979783836,10,13,3,10,13,19.872,25.8336,19.872,25.8336,11.9514812064,15.53692556832
"Cod Fillet Breaded","Fish",0.86,2.48,0.25,4,9.91,0," No ",4.68,"1,400.00",409.18,2.57,4.979783836,6,3,-3,6,3,14.865,7.4325,0,0,7.469675754,3.734837877
"Rockfish Fillet","Fish",0.95,1.92,0.25,4,6.9,7.69," Yes ",4.21,"1,200.00",315.95,2.08,4.979783836,8,12,4,8,12,15.38,23.07,15.38,23.07,9.959567672,14.939351508
"Cod Fillet","Fish",0.78,1.87,0.25,4,7.48,0," No ",5.11,"1,000.00",319.68,2.11,4.979783836,4,2,-2,4,2,7.48,3.74,0,0,4.979783836,2.489891918
"Pork Stew Cut","Pork",0.78,1.13,0.24,3.84,4.69,4.62," No ",4.9,"2,000.00",612.87,1.24,9.831502854,9,5,-4,9,5,10.1304,5.628,0,0,21.23604616464,11.7978034248
"Pork Carnitas Precooked","Pork",0.75,1.08,0.19,3,5.75,0," No ",4,"1,400.00",350,1.25,9.831502854,4,2,-2,4,2,4.37,2.185,0,0,7.47194216904,3.73597108452
"Pork Loin Boneless","Pork",0.89,0.9,0.24,3.84,0,3.75," Yes ",4.34,"1,400.00",379.42,1.48,9.831502854,6,9,3,6,9,5.4,8.1,5.4,8.1,14.15736410976,21.23604616464
"Pork Butt Boneless","Pork",0.82,0.65,0.2,3.2,3.25,0," No ",3.92,"1,100.00",269.67,0.83,9.831502854,6,3,-3,6,3,3.9,1.95,0,0,11.7978034248,5.8989017124
"Sausage Breakfast Pork Link","Pork",1,0.6,0.13,2,4.81,0," No ",2,"700.00",87.5,0.52,9.831502854,1,1,0,1,1,0.6253,0.6253,0,0,1.27809537102,1.27809537102
"Pork Ham Boneless","Pork",0.86,1.07,0.25,4,4.3,0," No ",4.64,"525.00",152.25,0.81,9.831502854,1,1,0,1,1,1.075,1.075,0,0,2.4578757135,2.4578757135
"Shrimp 31/40","Shellfish",0.63,0.93,0.17,2.67,5.59,0," No ",4.24,"1,600.00",423.9,1.19,21.127425,4,2,-2,4,2,3.8012,1.9006,0,0,14.366649,7.1833245
"Shrimp 26/30","Shellfish",0.23,0.57,0.1,1.6,5.69,0," No ",7.05,"1,000.00",440.56,1,21.127425,1,1,0,1,1,0.569,0.569,0,0,2.1127425,2.1127425
"Shrimp Breaded PopCorn Style","Shellfish",0.97,0.57,0.12,2,4.59,0," No ",2.06,"200.00",25.8,0.59,21.127425,1,1,0,1,1,0.5508,0.5508,0,0,2.535291,2.535291
"Turkey Breast Boneless Skin On","Turkey",0.53,1.1,0.17,2.67,6.6,0," No ",5,"1,000.00",312.5,1.64,4.399609786,2,1,-1,2,1,2.244,1.122,0,0,1.49586732724,0.74793366362
